id,song_name,level,level_index,score,rating,over_power,clear,full_combo,full_chain,rank,upload_time,play_time
464,World Vanquisher,15+,3,978593,15.64372,78.2186,failed,,,s,2024-03-01 05:35:37,2024-02-20 05:59:00
2038,SINister Evolution,14+,3,1006705,16.741,83.705,clear,,,ssp,2024-03-01 05:35:37,
2038,SINister Evolution,14+,3,1006705,16.741,83.705,clear,,,ssp,2024-03-01 05:35:37,2024-03-01 05:33:00
2161,POTENTIAL,14,2,1008513,16.1013,81.5195,clear,,,sss,2024-03-01 05:35:37,2024-03-01 05:12:00
1033,《本能》 ～ ReCoda,14+,3,996926,15.47704,77.3852,clear,,,sp,2024-03-01 05:35:37,2024-03-01 05:01:00
618,業 -善なる神とこの世の悪について-,15+,3,984580,15.9832,79.916,failed,,,s,2024-03-01 05:35:37,2024-02-24 10:11:00
551,Sparking Revolver,14+,3,572713,1.17552683333333,5.87763416666667,failed,,,c,2024-03-01 05:35:37,2024-02-24 10:02:00
409,Finite,15,3,998322,16.13288,80.6644,clear,,,sp,2024-03-01 05:35:37,2024-02-24 09:53:00
1033,《本能》 ～ ReCoda,14+,3,565948,1.055168,5.27584,failed,,,c,2024-03-01 05:35:37,2024-02-24 09:32:00
465,macrocosmos,15,3,986434,15.85736,79.2868,failed,,,s,2024-03-01 05:35:37,2024-02-24 09:13:00
625,volcanic,14,3,824108,5.833076,29.16538,failed,,,bbb,2024-03-01 05:35:37,2024-02-24 09:02:00
151,Alma,13+,3,1002663,15.0663,75.3315,clear,,,ss,2024-03-01 05:35:37,2024-02-20 06:23:00
893,Giselle,15,3,1001956,16.2956,81.478,clear,,,ss,2024-03-01 05:35:37,2024-02-20 06:12:00
2089,Love & Justice,15,3,1000773,16.1773,80.8865,clear,,,ss,2024-03-01 05:35:37,2024-02-20 06:02:00
982,The Metaverse -First story of the SeelischTact-,15+,3,985611,16.12444,80.6222,failed,,,s,2024-03-01 05:35:37,2024-02-20 05:51:00
2208,Reverberate,15,3,996235,16.0494,80.247,clear,,,sp,2024-03-01 05:35:37,2024-03-01 05:15:00
101,Tango Rouge,14+,3,997973,15.41892,77.0946,clear,,,sp,2024-03-01 05:35:37,2024-03-01 04:54:00
618,業 -善なる神とこの世の悪について-,15+,3,984400,15.976,79.88,failed,,,s,2024-03-01 05:35:37,2024-02-24 10:14:00
2034,A Site De La Rue,15,3,892566,9.724583,48.622915,failed,,,bbb,2024-03-01 05:35:37,2024-02-24 09:56:00
938,Therapeutic Hoedown,14,3,995825,15.233,76.165,clear,,,sp,2024-03-01 05:35:37,2024-02-24 09:47:00
219,玩具狂奏曲 -終焉-,15,3,986729,15.76916,78.8458,clear,,,s,2024-03-01 05:35:37,2024-02-24 09:36:00
82,Memories of Sun and Moon,13+,3,1003275,14.8275,74.1375,clear,,,ss,2024-03-01 05:35:37,2024-02-24 09:06:00
628,サドマミホリック,14,3,1003098,15.5098,77.549,clear,,,ss,2024-03-01 05:35:37,2024-02-20 06:16:00
981,小悪魔の遊園地,15,3,996005,15.9402,79.701,clear,,,sp,2024-03-01 05:35:37,2024-02-20 06:06:00
33,Blue Noise,14+,3,996272,15.35088,76.7544,clear,,,sp,2024-03-01 05:35:37,2024-02-20 05:55:00
982,The Metaverse -First story of the SeelischTact-,15+,3,971894,15.51364,77.5682,failed,,,aaa,2024-06-14 07:49:44,2024-06-14 04:33:00
466,Iudicium,15,3,991430,15.6572,78.286,failed,,,sp,2024-06-14 07:49:44,2024-06-10 12:48:00
